2002-2003,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
9,Inter,38,16,6,16,54,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
10,Parma,38,13,10,15,49,squads/eab4234c/Parma-Stats,eab4234c,Parma
11,Cagliari,38,12,11,15,47,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
12,Chievo,38,12,9,17,45,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
13,Bologna,38,11,11,16,44,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
14,Sampdoria,38,11,10,17,42,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
15,Atalanta,38,11,9,18,40,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
16,Torino,38,8,16,14,39,squads/105360fe/Torino-Stats,105360fe,Torino
17,Genoa,38,8,14,16,38,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
18,Palermo,38,6,14,18,32,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
19,Siena,38,9,9,20,30,squads/45a2f824/Siena-Stats,45a2f824,Siena
20,Pescara,38,6,4,28,22,squads/b985784c/Pescara-Stats,b985784c,Pescara
﻿2013-2014,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,33,3,2,102,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Roma,38,26,7,5,85,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Napoli,38,23,9,6,78,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
4,Fiorentina,38,19,8,11,65,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
5,Inter,38,15,15,8,60,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
6,Parma,38,15,13,10,58,squads/eab4234c/Parma-Stats,eab4234c,Parma
7,Torino,38,15,12,11,57,squads/105360fe/Torino-Stats,105360fe,Torino
8,Milan,38,16,9,13,57,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
9,Lazio,38,15,11,12,56,squads/7213da33/Lazio-Stats,7213da33,Lazio
10,Hellas Verona,38,16,6,16,54,squads/0e72edf2/Hellas-Verona-Stats,0e72edf2,Hellas-Verona
11,Atalanta,38,15,5,18,50,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
12,Sampdoria,38,12,9,17,45,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
13,Udinese,38,12,8,18,44,squads/04eea015/Udinese-Stats,04eea015,Udinese
14,Genoa,38,11,11,16,44,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
15,Cagliari,38,9,12,17,39,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
16,Chievo,38,10,6,22,36,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
17,Sassuolo,38,9,7,22,34,squads/e2befd26/Sassuolo-Stats,e2befd26,Sassuolo
18,Catania,38,8,8,22,32,squads/7b046f08/Catania-Stats,7b046f08,Catania
19,Bologna,38,5,14,19,29,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
20,Livorno,38,6,7,25,25,squads/939201df/Livorno-Stats,939201df,Livorno
﻿2014-2015,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,26,9,3,87,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Roma,38,19,13,6,70,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Lazio,38,21,6,11,69,squads/7213da33/Lazio-Stats,7213da33,Lazio
4,Fiorentina,38,18,10,10,64,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
5,Napoli,38,18,9,11,63,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
6,Genoa,38,16,11,11,59,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
7,Sampdoria,38,13,17,8,56,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
8,Inter,38,14,13,11,55,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
9,Torino,38,14,12,12,54,squads/105360fe/Torino-Stats,105360fe,Torino
10,Milan,38,13,13,12,52,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
11,Palermo,38,12,13,13,49,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
12,Sassuolo,38,12,13,13,49,squads/e2befd26/Sassuolo-Stats,e2befd26,Sassuolo
13,Hellas Verona,38,11,13,14,46,squads/0e72edf2/Hellas-Verona-Stats,0e72edf2,Hellas-Verona
14,Chievo,38,10,13,15,43,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
15,Empoli,38,8,18,12,42,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
16,Udinese,38,10,11,17,41,squads/04eea015/Udinese-Stats,04eea015,Udinese
17,Atalanta,38,7,16,15,37,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
18,Cagliari,38,8,10,20,34,squads/c4260e09/Cagliari-Stats,c4260e09,Cagliari
19,Cesena,38,4,12,22,24,squads/283f2557/Cesena-Stats,283f2557,Cesena
20,Parma,38,6,8,24,19,squads/eab4234c/Parma-Stats,eab4234c,Parma
﻿2015-2016,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,29,4,5,91,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Napoli,38,25,7,6,82,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
3,Roma,38,23,11,4,80,squads/cf74a709/Roma-Stats,cf74a709,Roma
4,Inter,38,20,7,11,67,squads/d609edc0/Internazionale-Stats,d609edc0,Internazionale
5,Fiorentina,38,18,10,10,64,squads/421387cf/Fiorentina-Stats,421387cf,Fiorentina
6,Sassuolo,38,16,13,9,61,squads/e2befd26/Sassuolo-Stats,e2befd26,Sassuolo
7,Milan,38,15,12,11,57,squads/dc56fe14/Milan-Stats,dc56fe14,Milan
8,Lazio,38,15,9,14,54,squads/7213da33/Lazio-Stats,7213da33,Lazio
9,Chievo,38,13,11,14,50,squads/cc919b35/Chievo-Stats,cc919b35,Chievo
10,Empoli,38,12,10,16,46,squads/a3d88bd8/Empoli-Stats,a3d88bd8,Empoli
11,Genoa,38,13,7,18,46,squads/658bf2de/Genoa-Stats,658bf2de,Genoa
12,Torino,38,12,9,17,45,squads/105360fe/Torino-Stats,105360fe,Torino
13,Atalanta,38,11,12,15,45,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
14,Bologna,38,11,9,18,42,squads/1d8099f8/Bologna-Stats,1d8099f8,Bologna
15,Sampdoria,38,10,10,18,40,squads/8ff9e3b3/Sampdoria-Stats,8ff9e3b3,Sampdoria
16,Palermo,38,10,9,19,39,squads/ee058a17/Palermo-Stats,ee058a17,Palermo
17,Udinese,38,10,9,19,39,squads/04eea015/Udinese-Stats,04eea015,Udinese
18,Carpi,38,9,11,18,38,squads/71f07916/Carpi-Stats,71f07916,Carpi
19,Frosinone,38,8,7,23,31,squads/6a7ad59d/Frosinone-Stats,6a7ad59d,Frosinone
20,Hellas Verona,38,5,13,20,28,squads/0e72edf2/Hellas-Verona-Stats,0e72edf2,Hellas-Verona
﻿2016-2017,Serie-A
Rk,Club,Mp,W,D,L,Pts,Link,Club_id,Club_name
﻿1,Juventus,38,29,4,5,91,squads/e0652b02/Juventus-Stats,e0652b02,Juventus
2,Roma,38,28,3,7,87,squads/cf74a709/Roma-Stats,cf74a709,Roma
3,Napoli,38,26,8,4,86,squads/d48ad4ff/Napoli-Stats,d48ad4ff,Napoli
4,Atalanta,38,21,9,8,72,squads/922493f3/Atalanta-Stats,922493f3,Atalanta
