Id,Rk,Mp,W,D,L,Pts,season,Club_id,League_id
1881,5,38,19,11,8,68,2018-2019,162,5
1882,6,38,18,12,8,66,2018-2019,167,5
1883,7,38,16,15,7,63,2018-2019,177,5
1884,8,38,17,8,13,59,2018-2019,163,5
1885,9,38,15,8,15,53,2018-2019,178,5
1886,10,38,11,11,16,44,2018-2019,170,5
1887,11,38,9,16,13,43,2018-2019,197,5
1888,12,38,11,10,17,43,2018-2019,165,5
1889,13,38,11,9,18,42,2018-2019,201,5
1890,14,38,10,11,17,41,2018-2019,164,5
1891,15,38,10,11,17,41,2018-2019,185,5
1892,16,38,8,17,13,41,2018-2019,186,5
1893,17,38,8,14,16,38,2018-2019,191,5
1894,18,38,10,8,20,38,2018-2019,172,5
1895,19,38,5,10,23,25,2018-2019,199,5
1896,20,38,2,14,22,17,2018-2019,166,5
1897,1,38,26,5,7,83,2019-2020,160,5
1898,2,38,24,10,4,82,2019-2020,161,5
1899,3,38,23,9,6,78,2019-2020,174,5
1900,4,38,24,6,8,78,2019-2020,163,5
1901,5,38,21,7,10,70,2019-2020,167,5
1902,6,38,19,9,10,66,2019-2020,162,5
1903,7,38,18,8,12,62,2019-2020,190,5
1904,8,38,14,9,15,51,2019-2020,197,5
1905,9,38,12,13,13,49,2019-2020,196,5
1906,10,38,12,13,13,49,2019-2020,186,5
1907,11,38,14,7,17,49,2019-2020,164,5
1908,12,38,12,11,15,47,2019-2020,170,5
1909,13,38,12,9,17,45,2019-2020,165,5
1910,14,38,11,12,15,45,2019-2020,185,5
1911,15,38,12,6,20,42,2019-2020,178,5
1912,16,38,11,7,20,40,2019-2020,177,5
1913,17,38,10,9,19,39,2019-2020,191,5
1914,18,38,9,8,21,35,2019-2020,179,5
1915,19,38,6,7,25,25,2019-2020,168,5
1916,20,38,5,5,28,20,2019-2020,201,5
1917,1,38,28,7,3,91,2020-2021,161,5
1918,2,38,24,7,7,79,2020-2021,162,5
1919,3,38,23,9,6,78,2020-2021,174,5
1920,4,38,23,9,6,78,2020-2021,160,5
1921,5,38,24,5,9,77,2020-2021,190,5
1922,6,38,21,5,12,68,2020-2021,163,5
1923,7,38,18,8,12,62,2020-2021,167,5
1924,8,38,17,11,10,62,2020-2021,197,5
