Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
202,Harry Lewis,/en/players/c35e99d8/Harry-Lewis,c35e99d8,Harry-Lewi,eng ENG,GK,Southampton
203,Alex McCarthy,/en/players/36c2ca73/Alex-McCarthy,36c2ca73,Alex-McCarth,eng ENG,GK,Southampton
204,Stuart Taylor,/en/players/30871c08/Stuart-Taylor,30871c08,Stuart-Taylo,eng ENG,GK,Southampton
205,Wesley Hoedt,/en/players/875898c7/Wesley-Hoedt,875898c7,Wesley-Hoedt,nl NED,DF,Southampton
206,Mario Lemina,/en/players/2b471f99/Mario-Lemina,2b471f99,Mario-Lemi,ga GAB,MF,Southampton
207,Guido Carrillo,/en/players/8f898ba8/Guido-Carrillo,8f898ba8,Guido-Carrillo,ar ARG,FW,Southampton
208,Jan Bednarek,/en/players/4115ce4e/Jan-Bednarek,4115ce4e,Jan-Bednarek,pl POL,DF,Southampton
209,Michael Obafemi,/en/players/caa1a7f0/Michael-Obafemi,caa1a7f0,Michael-Obafemi,ie IRL,FW,Southampton
210,Jannik Vestergaard,/en/players/1900032e/Jannik-Vestergaard,1900032e,Jannik-Vestergaard,dk DEN,DF,Southampton
211,Danny Ings,/en/players/07802f7f/Danny-Ings,07802f7f,Danny-Ing,eng ENG,FW,Southampton
212,Yan Valery,/en/players/531a4aa8/Yan-Valery,531a4aa8,Yan-V,tn TUN,DF,Southampton
213,Stuart Armstrong,/en/players/97333cf5/Stuart-Armstrong,97333cf5,Stuart-Armstrong,sct SCO,MF,Southampton
214,Angus Gunn,/en/players/e082af5b/Angus-Gunn,082af5b,Angus-Gu,eng ENG,GK,Southampton
215,Mohamed Elyounoussi,/en/players/68dc0dac/Mohamed-Elyounoussi,68dc0dac,Mohamed-Elyounoussi,no NOR,MF,Southampton
216,Callum Slattery,/en/players/059948df/Callum-Slattery,059948df,Callum-Slatt,eng ENG,MF,Southampton
217,Kayne Ramsey,/en/players/dc31b84c/Kayne-Ramsey,dc31b84c,Kayne-Ram,eng ENG,DF,Southampton
218,Tyreke Johnson,/en/players/4701e130/Tyreke-Johnson,4701e130,Tyreke-Johnso,eng ENG,MF,Southampton
219,Alfie Jones,/en/players/e5c107a1/Alfie-Jones,5c107a1,Alfie-Jo,eng ENG,"DF,MF",Southampton
220,Che Adams,/en/players/f2bf1b0f/Che-Adams,f2bf1b0f,Che-Adam,sct SCO,FW,Southampton
221,Moussa Djenepo,/en/players/254147d4/Moussa-Djenepo,254147d4,Moussa-Djenepo,ml MLI,"MF,DF",Southampton
222,Kyle Walker-Peters,/en/players/984a5a64/Kyle-Walker-Peters,984a5a64,Kyle-Walker-Pet,eng ENG,DF,Southampton
223,William Smallbone,/en/players/5e105217/William-Smallbone,5e105217,William-Smallbo,ie IRL,MF,Southampton
224,Kevin Danso,/en/players/6e33125f/Kevin-Danso,6e33125f,Kevin-Danso,at AUT,DF,Southampton
225,Jake Vokins,/en/players/d484c261/Jake-Vokins,d484c261,Jake-Voki,eng ENG,DF,Southampton
226,Nathan Tella,/en/players/f1e94cd6/Nathan-Tella,f1e94cd6,Nathan-T,eng ENG,FW,Southampton
227,Will Ferry,/en/players/f4765c97/Will-Ferry,f4765c97,Will-F,ie IRL,MF,Southampton
228,Alexandre Jankewitz,/en/players/7c39363f/Alexandre-Jankewitz,7c39363f,Alexandre-Jankewitz,ch SUI,MF,Southampton
229,Jacob Maddox,/en/players/ff97076d/Jacob-Maddox,ff97076d,Jacob-Maddox,eng ENG,MF,Southampton
