Id,Player,Nationality,Position,Game,Games Starts,Assists,Goals,season,Player_id,Club,Minutes,Minutes 90s,Yellow Card,Red Card,Club_Id,Nationality_Id,Player_Id_DB
,Joaquín Larrivey,ar ARG,FW,27,11,1.0,1.0,2007-2008,7ae94e67,Cagliari,"1,207",13.4,2.0,1.0,184.0,5.0,
,Joe Bizera,uy URU,DF,9,7,0.0,0.0,2007-2008,c3c94c0f,Cagliari,646,7.2,1.0,0.0,184.0,8.0,
,Alessandro Budel,it ITA,MF,9,5,0.0,0.0,2007-2008,ff0f5a19,Cagliari,479,5.3,1.0,0.0,184.0,9.0,
,Vincenzo Marruocco,it ITA,GK,5,5,0.0,0.0,2007-2008,47a02c9c,Cagliari,450,5.0,0.0,0.0,184.0,9.0,
,Antonino D'Agostino,it ITA,MF,11,4,0.0,0.0,2007-2008,dff2d09e,Cagliari,387,4.3,1.0,0.0,184.0,9.0,
,Marco Mancosu,it ITA,MF,10,3,1.0,0.0,2007-2008,2c3a6c21,Cagliari,241,2.7,0.0,0.0,184.0,9.0,
,Daniele Magliocchetti,it ITA,DF,2,2,0.0,0.0,2007-2008,d7e3e0ad,Cagliari,180,2.0,1.0,0.0,184.0,9.0,
,Enrico Cotza,it ITA,MF,4,1,0.0,0.0,2007-2008,d7905b14,Cagliari,117,1.3,0.0,0.0,184.0,9.0,
,Luca Capecchi,it ITA,GK,1,1,0.0,0.0,2007-2008,05602829,Cagliari,90,1.0,0.0,0.0,184.0,9.0,
,Davide Marchini,it ITA,MF,1,0,0.0,0.0,2007-2008,cc371be6,Cagliari,13,0.1,0.0,0.0,184.0,9.0,
,﻿Federico Marchetti,it ITA,GK,35,35,0.0,0.0,2008-2009,f794b426,Cagliari,"3,150",35.0,4.0,0.0,184.0,9.0,
,Alessandro Agostini,it ITA,DF,34,33,1.0,0.0,2008-2009,9549f66d,Cagliari,"2,951",32.8,7.0,1.0,184.0,9.0,
,Michele Fini,it ITA,MF,35,33,12.0,3.0,2008-2009,d4894685,Cagliari,"2,844",31.6,8.0,1.0,184.0,9.0,
,Daniele Conti,it ITA,MF,31,31,2.0,5.0,2008-2009,25df5a0d,Cagliari,"2,790",31.0,15.0,0.0,184.0,9.0,
,Andrea Cossu,it ITA,MF,33,31,8.0,1.0,2008-2009,70fd593e,Cagliari,"2,537",28.2,14.0,1.0,184.0,9.0,
,Jeda,br BRA,FW,36,30,3.0,11.0,2008-2009,9bc3,Cagliari,"2,914",32.4,0.0,0.0,184.0,2.0,
,Luis Diego López,uy URU,DF,30,30,0.0,1.0,2008-2009,1a0d1319,Cagliari,"2,514",27.9,7.0,2.0,184.0,8.0,
,Robert Acquafresca,it ITA,FW,36,29,0.0,14.0,2008-2009,d2b115ae,Cagliari,"2,275",25.3,3.0,0.0,184.0,9.0,
,Francesco Pisano,it ITA,DF,29,28,0.0,0.0,2008-2009,d76a53f3,Cagliari,"2,459",27.3,2.0,0.0,184.0,9.0,
,Davide Biondini,it ITA,MF,30,27,1.0,2.0,2008-2009,b4c3070a,Cagliari,"2,268",25.2,9.0,0.0,184.0,9.0,
,Paolo Bianco,it ITA,DF,26,23,0.0,1.0,2008-2009,3e4c8171,Cagliari,"2,124",23.6,8.0,1.0,184.0,9.0,
,Michele Canini,it ITA,DF,22,20,0.0,0.0,2008-2009,171f762,Cagliari,"1,839",20.4,2.0,1.0,184.0,9.0,
,Andrea Parola,it ITA,MF,26,14,0.0,1.0,2008-2009,19b163,Cagliari,"1,164",12.9,1.0,0.0,184.0,9.0,
,Andrea Lazzari,it ITA,MF,36,13,3.0,2.0,2008-2009,2d6caaa7,Cagliari,"1,528",17.0,3.0,0.0,184.0,9.0,
,Carlos Matheu,ar ARG,DF,15,13,0.0,0.0,2008-2009,2616beec,Cagliari,"1,134",12.6,7.0,0.0,184.0,5.0,
,Alessandro Matri,it ITA,FW,31,11,3.0,6.0,2008-2009,58d97e77,Cagliari,"1,273",14.1,0.0,0.0,184.0,9.0,
,Joaquín Larrivey,ar ARG,FW,12,7,0.0,1.0,2008-2009,7ae94e67,Cagliari,500,5.6,2.0,0.0,184.0,5.0,
,Davide Astori,it ITA,DF,10,5,0.0,0.0,2008-2009,1522dab2,Cagliari,564,6.3,0.0,0.0,184.0,9.0,
,Cristiano Lupatelli,it ITA,GK,3,3,0.0,0.0,2008-2009,0fb9a389,Cagliari,270,3.0,0.0,0.0,184.0,9.0,
,Michele Ferri,it ITA,DF,2,1,0.0,0.0,2008-2009,504124ad,Cagliari,104,1.2,0.0,0.0,184.0,9.0,
,Claudio Pani,it ITA,MF,1,1,0.0,0.0,2008-2009,f2a8472c,Cagliari,56,0.6,1.0,0.0,184.0,9.0,
,Daniele Ragatzu,it ITA,FW,6,0,0.0,1.0,2008-2009,282b3a4d,Cagliari,93,1.0,0.0,0.0,184.0,9.0,
,Daniele Magliocchetti,it ITA,DF,2,0,0.0,0.0,2008-2009,d7e3e0ad,Cagliari,36,0.4,0.0,0.0,184.0,9.0,
