,Player,Link,Player_id,Player_name,Nationality,Position
102,Carlos Bellvís,/en/players/fbe35ca3/Carlos-Bellvis,fbe35ca3,Carlos-Bellvi,es ESP,DF
103,Aitor Núñez,/en/players/511e3986/Aitor-Nunez,511e3986,Aitor-Nunez,es ESP,DF
104,Grégory Béranger,/en/players/3dac0268/Gregory-Beranger,3dac0268,Gregory-Berang,fr FRA,DF
105,Julio Álvarez,/en/players/17b1a0ee/Julio-Alvarez,17b1a0ee,Julio-Alvarez,ve VEN,MF
106,Natalio,/en/players/239425b9/Natalio,239425b9,Natalio,es ESP,FW
107,Melli,/en/players/83215889/Melli,83215889,Melli,es ESP,DF
108,David Prieto,/en/players/aee8f24e/David-Prieto,8f24e,David-Prieto,es ESP,"DF,MF"
109,Ritchie Kitoko,/en/players/d403d81a/Ritchie-Kitoko,d403d81a,Ritchie-Kitoko,be BEL,MF
110,Sebastián Dubarbier,/en/players/83877c7c/Sebastian-Dubarbier,83877c7c,Sebastian-Dubarbi,ar ARG,"DF,FW"
111,Germán,/en/players/12c68be9/German,12c68be9,Germ,es ESP,"FW,MF"
112,Josmar Zambrano,/en/players/64bd3334/Josmar-Zambrano,64bd3334,Josmar-Zambrano,ve VEN,MF
113,Igor de Souza,/en/players/1c73ef45/Igor-de-Souza,1c73ef45,Igor-de-Souz,br BRA,FW
114,Jesús Álvaro,/en/players/201b183d/Jesus-Alvaro,201b183d,Jesus-Alvaro,es ESP,DF
115,Bruno González,/en/players/f11fe861/Bruno-Gonzalez,f11fe861,Bruno-Gonzalez,es ESP,DF
116,Abel Miguel Suárez,/en/players/d1fa675a/Abel-Miguel-Suarez,d1fa675a,Abel-Miguel-Suarez,es ESP,MF
117,Alejandro Moreno,/en/players/091b3513/Alejandro-Moreno,091b3513,Alejandro-Moreno,ve VEN,FW
118,Ayoze Placeres,/en/players/00b06c28/Ayoze-Placeres,00b06c28,Ayoze-Plac,es ESP,DF
119,Juan Ramón García,/en/players/f84b7c50/Juan-Ramon-Garcia,f84b7c50,Juan-Ramon-Garci,es ESP,MF
120,﻿Carlos Ruiz,/en/players/3c871dd7/Carlos-Ruiz,3c871dd7,Carlos-Ruiz,es ESP,"DF,MF"
121,Javi Moyano,/en/players/933e8c8a/Javi-Moyano,933e8c8a,Javi-Moyano,es ESP,DF
122,Aitor Sanz,/en/players/bd267b8d/Aitor-Sanz,bd267b8d,Aitor-Sanz,es ESP,MF
123,Aridane,/en/players/3e601a74/Aridane,3e601a74,Arid,es ESP,FW
124,Roberto,/en/players/a69b0d51/Roberto,69b0d51,Roberto,es ESP,GK
125,Ayoze Pérez,/en/players/819aa8e7/Ayoze-Perez,819aa8e7,Ayoze-Perez,es ESP,"FW,MF"
126,Raúl Cámara,/en/players/585753d9/Raul-Camara,585753d9,Raul-Cam,es ESP,DF
127,Quique Rivero,/en/players/0204d102/Quique-Rivero,0204d102,Quique-Rivero,es ESP,MF
128,Iñigo Ros,/en/players/bc278eb1/Inigo-Ros,bc278eb1,Inigo-Ro,es ESP,MF
129,Luismi,/en/players/f345089d/Luismi,f345089d,Luismi,es ESP,"FW,MF"
130,Chechu,/en/players/3333762c/Chechu,3333762c,Chechu,es ESP,MF
131,Raúl Llorente,/en/players/f40996ec/Raul-Llorente,f40996ec,Raul-Llorent,es ESP,DF
132,Borja Pérez,/en/players/5cabc332/Borja-Perez,5cabc332,Borja-Perez,es ESP,FW
133,Juanjo Expósito,/en/players/f0a0b756/Juanjo-Exposito,f0a0b756,Juanjo-Exposito,es ESP,FW
134,Aday,/en/players/5890cef1/Aday,5890cef1,Ad,es ESP,"DF,MF"
135,Alberto Jiménez,/en/players/3a780635/Alberto-Jimenez,3a780635,Alberto-Jimenez,es ESP,"DF,MF"
136,Salvador Ruiz,/en/players/8f86f018/Salvador-Ruiz,8f86f018,Salvador-Ruiz,es ESP,DF
137,Nano,/en/players/217011a0/Nano,217011a0,Nano,es ESP,FW
138,Baltasar Rigo,/en/players/b80570db/Baltasar-Rigo,b80570db,Baltasar-Rigo,es ESP,DF
139,Óscar Rico,/en/players/8778714e/Oscar-Rico,8778714e,Oscar-Rico,es ESP,MF
140,Diego Rivas Rego,/en/players/c3a6fb7d/Diego-Rivas-Rego,c3a6fb7d,Diego-Rivas-Rego,es ESP,GK
141,Guillem,/en/players/560cedf7/Guillem,560cedf7,Guillem,es ESP,FW
142,Unai Albizua,/en/players/4a2e58a3/Unai-Albizua,4a2e58a3,Unai-Albizu,es ESP,DF
143,Diego Ifrán,/en/players/59e3e40f/Diego-Ifran,59e3e40f,Diego-If,uy URU,FW
145,Dani Hernández,/en/players/ba02295e/Dani-Hernandez,ba02295e,Dani-Hernandez,ve VEN,GK
146,Maximiliano Pérez,/en/players/ebfcf4a4/Maximiliano-Perez,bfcf4a4,Maximiliano-Perez,uy URU,"FW,MF"
147,Iker Guarrotxena,/en/players/6d157157/Iker-Guarrotxena,6d157157,Iker-Guarrotx,es ESP,"FW,MF"
148,Carlos Abad,/en/players/6970bedb/Carlos-Abad,6970bedb,Carlos-Abad,es ESP,GK
149,Ulises Dávila,/en/players/0e774d3a/Ulises-Davila,0e774d3a,Ulises-Davi,mx MEX,"FW,MF"
150,Jacobo,/en/players/bb575fe7/Jacobo,bb575fe7,Jacobo,es ESP,GK
151,Cristo Díaz,/en/players/0949adff/Cristo-Diaz,0949adff,Cristo-Diaz,es ESP,MF
152,Jorge Sáenz,/en/players/bfca375c/Jorge-Saenz,bfca375c,Jorge-Saenz,es ESP,DF
153,Igor Arnáez,/en/players/dce1fe15/Igor-Arnaez,dce1fe15,Igor-Arnaez,es ESP,DF
154,Victor García,/en/players/e978d6b6/Victor-Garcia,978d6b6,Victor-Garci,sv SLV,MF
155,Abdón Prats,/en/players/d1b060e2/Abdon-Prats,d1b060e2,Abdon-Prat,es ESP,FW
156,Omar Perdomo,/en/players/5290eb66/Omar-Perdomo,5290eb66,Omar-Perdomo,es ESP,MF
157,Cristian García,/en/players/2e33112b/Cristian-Garcia,2e33112b,Cristian-Garci,ar ARG,FW
158,Cristo González,/en/players/896b5df2/Cristo-Gonzalez,896b5df2,Cristo-Gonzalez,es ESP,FW
159,Hugo Álvarez,/en/players/6f392eb8/Hugo-Alvarez,6f392eb8,Hugo-Alvarez,es ESP,DF
160,Juan Carlos,/en/players/82803509/Juan-Carlos,82803509,Juan-Carlo,es ESP,"FW,MF"
161,Diop,/en/players/6bcd5f78/Diop,6bcd5f78,Dio,sn SEN,MF
162,Víctor García Marín,/en/players/cec64412/Victor-Garcia-Marin,cec64412,Victor-Garcia-Mari,es ESP,"DF,FW"
163,Santi Luque,/en/players/5525a479/Santi-Luque,5525a479,Santi-Luqu,es ESP,MF
164,Jordan McCourt,/en/players/491c3094/Jordan-McCourt,491c3094,Jordan-McCourt,eng ENG,MF
165,Nahuel Omiliani,/en/players/9f511fbe/Nahuel-Omiliani,9f511fbe,Nahuel-Omiliani,es ESP,DF
166,Ángel Rodríguez,/en/players/70eaa565/Angel-Rodriguez,70eaa565,Angel-Rodriguez,es ESP,GK
167,Germán Sánchez,/en/players/ea9b2ef9/German-Sanchez,9b2ef9,German-Sanchez,es ESP,DF
168,Anthony Lozano,/en/players/38699c72/Anthony-Lozano,38699c72,Anthony-Lozano,hn HON,FW
169,Saúl García,/en/players/dafa5038/Saul-Garcia,dafa5038,Saul-Garci,es ESP,DF
170,Jon Aurtenetxe,/en/players/74b0e3ce/Jon-Aurtenetxe,74b0e3ce,Jon-Aurtenetx,es ESP,DF
171,Cristian García Ramos,/en/players/73620865/Cristian-Garcia-Ramos,73620865,Cristian-Garcia-Ramo,es ESP,DF
