Unnamed: 0,Player,Link,Player_id,Player_name,Nationality,Position,club
151,Ibrahim Afellay,/en/players/9a8c6673/Ibrahim-Afellay,9a8c6673,Ibrahim-Af,nl NED,MF,Stoke-City
152,Giannelli Imbula,/en/players/b86fe156/Giannelli-Imbula,b86fe156,Giannelli-Imbu,cd COD,MF,Stoke-City
153,Joselu,/en/players/6265208f/Joselu,6265208f,Joselu,es ESP,FW,Stoke-City
154,Marco van Ginkel,/en/players/47681787/Marco-van-Ginkel,47681787,Marco-van-Gink,nl NED,MF,Stoke-City
155,Jakob Haugaard,/en/players/142741bb/Jakob-Haugaard,142741bb,Jakob-Haugaard,dk DEN,GK,Stoke-City
156,Shay Given,/en/players/0db918ff/Shay-Given,0db918ff,Shay-Giv,ie IRL,GK,Stoke-City
157,Daniel Bachmann,/en/players/1c0eea98/Daniel-Bachmann,1c0eea98,Daniel-Bachm,at AUT,GK,Stoke-City
158,Moha El Ouriachi,/en/players/07061558/Moha-El-Ouriachi,07061558,Moha-El-Ouriachi,es ESP,MF,Stoke-City
159,Ollie Shenton,/en/players/8981c6bd/Ollie-Shenton,8981c6bd,Ollie-Shento,eng ENG,MF,Stoke-City
160,Bruno Martins Indi,/en/players/7bc34048/Bruno-Martins-Indi,7bc34048,Bruno-Martins-Indi,nl NED,DF,Stoke-City
161,Joe Allen,/en/players/9feb8f24/Joe-Allen,9feb8f24,Joe-A,wls WAL,MF,Stoke-City
162,Lee Grant,/en/players/9dab6e3b/Lee-Grant,9dab6e3b,Lee-Grant,eng ENG,GK,Stoke-City
163,Wilfried Bony,/en/players/61abe9b6/Wilfried-Bony,61abe9b6,Wilfried-Bo,ci CIV,FW,Stoke-City
164,Ramadan Sobhi,/en/players/98be0d02/Ramadan-Sobhi,98be0d02,Ramadan-Sobhi,eg EGY,MF,Stoke-City
165,Saido Berahino,/en/players/25b166d0/Saido-Berahino,25b166d0,Saido-Berahino,bi BDI,FW,Stoke-City
166,Julien Ngoy,/en/players/87449a74/Julien-Ngoy,87449a74,Julien-Ngo,be BEL,"FW,MF",Stoke-City
